Sector,No,Direct impact,Indirect impact,Induced impact,Total impact
Agriculture - Paddy,1,0.851799011,0.074974652,0.039655611,0.966429274
Agriculture - Food Crops,2,0.814698555,0.08423569,0.119177419,1.018111663
Agriculture - Vegetables,3,0.763175479,0.111437294,0.075275053,0.949887826
Agriculture - Fruits,4,0.690597377,0.168868187,0.070244315,0.929709879
Agriculture - Rubber,5,0.777726672,0.133780202,0.084526591,0.996033464
Agriculture - Oil Palm,6,0.773907323,0.112660524,0.268308701,1.154876549
Agriculture - Flower Plants,7,0.68836115,0.153411579,0.099542659,0.941315389
Agriculture - Others,8,0.746877188,0.142674379,0.170311791,1.059863358
Agriculture - Poultry Farming,9,0.606122955,0.273000835,0.123110455,1.002234246
Agriculture - Other Livestock,10,0.489336252,0.354223854,0.133013217,0.976573323
Agriculture - Forestry and Logging ,11,0.74030128,0.178458439,0.093089173,1.011848892
Agriculture - Fishing and Aquaculture,12,0.825215539,0.114840444,0.066600463,1.006656446
Quarrying and Mining - Crude Oil and Natural Gas,13,0.819808703,0.134947123,0.07858742,1.033343246
Quarrying and Mining -Mining of Metal Ores,14,0.431199514,0.342899244,0.21536004,0.989458798
"Quarrying and Mining -Quarrying of Stone, Sand and Clay ",15,0.375121757,0.345488912,0.197331711,0.917942381
Quarrying and Mining - Other Mining and Quarrying,16,0.345284761,0.384358387,0.238376339,0.968019487
Manufacturing - Processing and Preserving of Meat,17,0.189121916,0.611816334,0.196168488,0.997106738
Manufacturing - Processing and Preserving of Seafood,18,0.198091656,0.647884418,0.160474525,1.006450599
Manufacturing - Processing and Preserving of Fruits & Vegetables,19,0.369257627,0.37045613,0.252780273,0.99249403
Manufacturing - Dairy Products,20,0.200424007,0.394239867,0.165442692,0.760106566
Manufacturing - Vegetable & Animal Oils and Fats ,21,0.057703108,0.680597574,0.212108121,0.950408803
"Manufacturing -Grain Mill Products, Starches and Starch Products",22,0.261326806,0.391945898,0.120524393,0.773797098
Manufacturing - Bakery Products,23,0.26306814,0.380121012,0.231172931,0.874362083
Manufacturing - Confectionery,24,0.191811564,0.334979056,0.134289698,0.661080317
Manufacturing - Other Food Processing,25,0.266661698,0.346538272,0.221682094,0.834882063
Manufacturing - Prepared Animal Feeds,26,0.133306251,0.618031426,0.14346177,0.894799446
"Manufacturing - Spirits, Wines and Liquors",27,0.443715393,0.331119423,0.098847796,0.873682612
"Manufacturing -Soft Drinks, Mineral Waters and Other Bottled Waters",28,0.222512621,0.402495938,0.180451072,0.805459631
Manufacturing - Tobacco Products,29,0.486543073,0.141932734,0.078083914,0.706559722
"Manufacturing - Preparation, Spinning and Weaving of Textiles",30,0.232247156,0.198674053,0.102925797,0.533847006
Manufacturing - Finishing of Textiles,31,0.303500072,0.310946174,0.195036443,0.809482688
Manufacturing -Other Textiles,32,0.274174664,0.298366476,0.200173464,0.772714604
